date,US,Germany,UK,Canada,Australia
11/01/17,2579.36,13465.50,7487.96,16029.30,5937.77
10/31/17,2575.26,13229.60,7493.08,16025.60,5909.02
10/30/17,2572.83,13229.60,7487.81,16002.80,5919.08
10/27/17,2581.07,13217.50,7505.03,15953.50,5903.16
10/26/17,2560.40,13133.30,7486.50,15891.60,5916.30
10/25/17,2557.15,12953.40,7447.21,15854.80,5905.60
10/24/17,2569.13,13013.20,7526.54,15905.10,5897.61
10/23/17,2564.98,13003.10,7524.45,15855.80,5893.96
10/20/17,2575.21,12991.30,7523.23,15857.20,5906.99
10/19/17,2562.10,12990.10,7523.04,15818.00,5896.13
10/18/17,2561.26,13043.00,7542.87,15782.20,5890.48
10/17/17,2559.36,12995.10,7516.17,15816.90,5889.61
10/16/17,2557.64,13003.70,7526.97,15802.70,5846.76
10/13/17,2553.17,12991.90,7535.44,15807.20,5814.15
10/12/17,2550.93,12982.90,7556.24,15742.20,5794.47
10/11/17,2555.24,12970.70,7533.81,15800.40,5772.15
10/10/17,2550.64,12949.30,7538.27,15770.40,5738.11
10/06/17,2549.33,12955.90,7522.87,15728.30,5710.68
10/05/17,2552.07,12968.00,7507.99,15776.30,5651.77
10/04/17,2537.74,12970.50,7467.58,15721.00,5652.06
10/03/17,2534.58,12902.70,7468.11,15728.50,5701.44
10/02/17,2529.12,12902.70,7438.84,15705.00,5729.33
09/29/17,2519.36,12828.90,7372.76,15634.90,5681.61
09/28/17,2510.06,12704.70,7322.82,15618.30,5670.39
09/27/17,2507.04,12657.40,7313.51,15609.70,5664.28
09/26/17,2496.84,12605.20,7285.74,15474.10,5670.98
09/25/17,2496.66,12594.80,7301.29,15516.20,5683.73
09/22/17,2502.22,12592.40,7310.64,15454.20,5682.14
09/21/17,2500.60,12600.00,7263.90,15454.90,5655.42
09/20/17,2508.24,12569.20,7271.95,15389.60,5709.09
09/19/17,2506.65,12561.80,7275.25,15293.00,5713.58
09/18/17,2503.87,12559.40,7253.28,15236.70,5720.60
09/15/17,2500.23,12518.80,7215.47,15173.00,5695.02
09/14/17,2495.62,12540.50,7295.39,15172.70,5738.68
09/13/17,2498.37,12553.60,7379.70,15126.80,5744.26
09/12/17,2496.48,12524.80,7400.69,15143.40,5746.44
09/11/17,2488.11,12475.20,7413.59,15040.30,5713.15
09/08/17,2461.43,12304.00,7377.60,14985.30,5672.62
09/07/17,2465.10,12296.60,7396.98,15024.50,5689.88
09/06/17,2465.54,12214.50,7354.13,15059.80,5689.73
09/05/17,2457.85,12123.70,7372.92,15090.20,5706.23
09/01/17,2476.55,12142.60,7438.50,15191.60,5724.59
08/31/17,2471.65,12055.80,7430.62,15211.90,5714.52
08/30/17,2457.59,12002.50,7365.26,15133.10,5669.72
08/29/17,2446.30,11945.90,7337.43,15082.70,5669.01
08/28/17,2444.24,12123.50,7401.46,15052.00,5709.89
08/25/17,2443.05,12167.90,7401.46,15056.00,5743.86
08/24/17,2438.97,12180.80,7407.06,15076.20,5745.48
08/23/17,2444.04,12174.30,7382.65,15063.20,5737.16
08/22/17,2452.51,12229.30,7381.74,14985.00,5750.12
08/21/17,2428.37,12066.00,7318.88,14951.90,5725.85
08/18/17,2425.55,12165.20,7323.98,14952.30,5747.11
08/17/17,2430.01,12203.50,7387.87,15033.60,5779.21
08/16/17,2468.11,12263.90,7433.03,15082.20,5785.10
08/15/17,2464.61,12177.00,7383.85,15097.80,5757.48
08/14/17,2465.84,12165.10,7353.89,15119.90,5730.41
08/11/17,2441.32,12014.10,7309.96,15033.40,5693.14
08/10/17,2438.21,12014.30,7389.94,15074.30,5760.93
08/09/17,2474.02,12154.00,7498.06,15217.30,5765.66
08/08/17,2474.92,12292.00,7542.73,15256.40,5743.75
08/07/17,2480.91,12257.20,7531.94,15258.00,5773.56
